sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_average	fraction_average	Ribosomes	CHX	strain
IP_FLAG-Upf1_+CHX	31	137895	0.065152835952062	64516	0.04569374228888	101205.5	0.055423289120471	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	32	70789	0.0334464926517315	31118	0.0220394611033754	50953.5	0.0277429768775535	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	33	34861	0.0164711774475132	18183	0.0128781901549802	26522	0.0146746838012467	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	34	21312	0.0100695256522016	17083	0.0120991102907951	19197.5	0.0110843179714984	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	35	21719	0.0102618256212541	19467	0.0137875888328109	20593	0.0120247072270325	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	36	32326	0.0152734368540292	24404	0.0172842409141581	28365	0.0162788388840937	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	37	83879	0.0396312754401756	38599	0.0273379124342563	61239	0.0334845939372159	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	38	146543	0.0692388559333045	51769	0.0366656231718183	99156	0.0529522395525614	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	39	193839	0.0915853407890913	79221	0.0561086235641912	136530	0.0738469821766413	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	40	217721	0.102869143887153	80787	0.0572177499890221	149254	0.0800434469380873	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	41	151900	0.0717699393097518	44994	0.0318671994628598	98447	0.0518185693863058	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	42	73472	0.0347141605066892	20456	0.0144880524561555	46964	0.0246011064814223	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	43	31660	0.0149587641773979	9760	0.00691256315858808	20710	0.010935663667993	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	44	11841	0.00559465339938625	5524	0.00391239742705334	8682.5	0.00475352541321979	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	45	6364	0.00300687224336577	4557	0.00322751540099241	5460.5	0.00311719382217909	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	46	5777	0.0027295256049535	4372	0.00309648833292491	5074.5	0.0029130069689392	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	47	5404	0.00255329000678011	3614	0.00255963148105915	4509	0.00255646074391963	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	48	4731	0.0022353099596737	3584	0.00253838384839956	4157.5	0.00238684690403663	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	49	4494	0.00212333184501662	3579	0.00253484257628963	4036.5	0.00232908721065312	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	50	3828	0.00180865916838532	2985	0.00211413944962965	3406.5	0.00196139930900749	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	51	3004	0.00141933441531596	3051	0.00216088424148076	3027.5	0.00179010932839836	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	52	2842	0.00134279241289213	3016	0.00213609533671123	2929	0.00173944387480168	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	53	3013	0.00142358674878395	2751	0.00194840791488482	2882	0.00168599733183438	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	54	3637	0.00171841520256463	3695	0.00261700008924006	3666	0.00216770764590234	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	55	4609	0.00217766721710761	4973	0.00352214924053878	4791	0.0028499082288232	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	56	3518	0.00166218990448787	3944	0.00279335544031469	3731	0.00222777267240128	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	57	3451	0.00163053364422616	3775	0.00267366044299898	3613	0.00215209704361257	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	58	6719	0.00317460317460317	7517	0.0053239484900724	7118	0.00424927583233779	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	59	13106	0.00619234249238714	10028	0.00710237534368046	11567	0.0066473589180338	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	60	12604	0.00595515678117256	6718	0.0047580532069052	9661	0.00535660499403888	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	61	10326	0.0048788439322745	6951	0.00492307648722805	8638.5	0.00490096020975127	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	62	12746	0.00602224915366752	9420	0.00667175665511268	11083	0.0063470029043901	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	63	12113	0.00572316836641885	6145	0.00435222342310694	9129	0.0050376958947629	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	64	7536	0.00356062055719743	2841	0.0020121508128636	5188.5	0.00278638568503051	IP	+	FLAG-UPF1
IP_OE3_+CHX	15	5927	0.0150663968763981	7278	0.0210078454690828	6602.5	0.0180371211727405	IP	+	FLAG-UPF1 UPF2/UPF3 EE
IP_OE3_+CHX	16	7752	0.0197055354455607	8241	0.0237875315348601	7996.5	0.0217465334902104	IP	+	FLAG-UPF1 UPF2/UPF3 EE
