size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_rep3	fraction_rep3	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo	CHX
M	Total_Upf1-FLAG	53	Distance from start (nt)	1952	0.000212469638447861	1197	0.000131005599860086	748	9.80439960635598e-05	3897	0.000150153523018936	1299	0.000147173078123836	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	54	Distance from start (nt)	22244	0.00242119602337819	19339	0.00211655580258496	16036	0.00210191647175835	57619	0.00222009131199078	19206.3333333333	0.00221322276590717	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	55	Distance from start (nt)	8022	0.000873171844072103	7701	0.000842835525916891	5079	0.000665729219260455	20802	0.000801512339194227	6934	0.000793912196416483	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	56	Distance from start (nt)	2193	0.000238701801801312	1333	0.000145890112459059	786	0.000103024840783366	4312	0.000166143698038915	1437.33333333333	0.000162538918347912	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	57	Distance from start (nt)	24448	0.00266109514383879	20184	0.00220903678160064	15859	0.00207871622135293	60491	0.00233075102923748	20163.6666666667	0.00231628271559745	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	58	Distance from start (nt)	7822	0.000851402413903264	5463	0.000597897737707308	4078	0.000534523283351867	17363	0.000669005804510593	5787.66666666667	0.000661274478320813	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	59	Distance from start (nt)	1911	0.00020800690526325	1202	0.000131552824587989	592	7.75963177401436e-05	3705	0.000142755658913307	1235	0.000139052015863794	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	60	Distance from start (nt)	24934	0.00271399485914907	19110	0.00209149291004698	15640	0.00205001082678352	59684	0.0022996568816685	19894.6666666667	0.00228516619865986	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	61	Distance from start (nt)	7776	0.000846395444964432	5812	0.000636094023714969	4415	0.000578695511524888	18003	0.000693665351529356	6001	0.000687061660068096	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	62	Distance from start (nt)	5076	0.000552508137685115	1711	0.00018726030188856	975	0.000127797989521351	7762	0.000299074068686933	2587.33333333333	0.000289188809698342	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	63	Distance from start (nt)	34760	0.00378352696334409	21402	0.00234234072531792	19510	0.0025572705390375	75672	0.00291568319063098	25224	0.00289437940923317	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	64	Distance from start (nt)	7464	0.000812435133901044	4424	0.000484184439248971	3760	0.00049284147753875	15648	0.000602925924608752	5216	0.000596487016896255	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	65	Distance from start (nt)	2575	0.000280281413423793	1233	0.00013494561790099	942	0.000123472519106783	4750	0.000183020075529881	1583.33333333333	0.000179566516810522	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	66	Distance from start (nt)	30862	0.00335924076935343	18758	0.00205296828920258	17408	0.00228175118111557	67028	0.00258262518370881	22342.6666666667	0.00256465341322386	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	67	Distance from start (nt)	10189	0.00110904361995147	5822	0.000637188473170775	5054	0.000662452347734266	21065	0.00081164587179725	7021.66666666667	0.000802894813618836	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	68	Distance from start (nt)	2442	0.000265804742361515	1303	0.000142606764091639	756	9.90925949519401e-05	4501	0.000173425970517893	1500.33333333333	0.000169168033801698	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	69	Distance from start (nt)	21651	0.00235664966292759	15244	0.00166837875043203	13413	0.00175810711123065	50308	0.00193839451784363	16769.3333333333	0.00192771184153009	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	70	Distance from start (nt)	5651	0.000615095249420525	3132	0.00034278156955872	2471	0.000323885981648471	11254	0.000433622722108058	3751.33333333333	0.000427254266875905	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	71	Distance from start (nt)	2050	0.000223136659230592	1195	0.000130786709968924	728	9.5422498842609e-05	3973	0.000153081844227414	1324.33333333333	0.000149781956014042	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	72	Distance from start (nt)	32030	0.00348637424153945	24608	0.00269322122084961	22376	0.00293293109079975	79014	0.00304445226271958	26338	0.00303750885106294	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	73	Distance from start (nt)	7232	0.000787182594905191	5087	0.000556746438168969	4355	0.000570831019862036	16674	0.000642458260923206	5558	0.000638253350978732	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	74	Distance from start (nt)	2403	0.000261559703478592	1504	0.000164605198153357	901	0.000118098449803833	4808	0.000185254846978456	1602.66666666667	0.000181421117145261	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	75	Distance from start (nt)	28005	0.00304826445939158	22787	0.00249392197494718	20115	0.00263657082997126	70907	0.00273208515696784	23635.6666666667	0.00272625242143667	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	76	Distance from start (nt)	8175	0.000889825458151264	5486	0.000600414971455664	4270	0.000559689656672995	17931	0.000690891152489745	5977	0.000683310028759974	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	77	Distance from start (nt)	2462	0.000267981685378399	1501	0.000164276863316615	1095	0.000143526972847056	5058	0.00019488748253266	1686	0.00019192850718069	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	78	Distance from start (nt)	36976	0.00402473224961482	28876	0.003160332248588	28493	0.00373471601582755	94345	0.0036351640054456	31448.3333333333	0.00363992683801012	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	79	Distance from start (nt)	8846	0.000962861896367716	6309	0.000690488161668571	5567	0.000729693751451654	20722	0.000798429895816882	6907.33333333333	0.000794347936495981	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	80	Distance from start (nt)	2848	0.000309996685604257	1584	0.000173360793799813	1101	0.000144313422013341	5533	0.000213189490085648	1844.33333333333	0.000209223633805804	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	81	Distance from start (nt)	37103	0.00403855583777203	26462	0.00289613214995621	25584	0.00335341924504026	89149	0.00343495930808702	29716.3333333333	0.0034293690775895	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	82	Distance from start (nt)	8458	0.00092062920184017	5335	0.00058388878467298	4173	0.000546975395151384	17966	0.000692239721467334	5988.66666666667	0.000683831127221511	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	83	Distance from start (nt)	2001	0.000217803148839227	1275	0.000139542305615379	901	0.000118098449803833	4177	0.000160942074839645	1392.33333333333	0.00015848130141948	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	84	Distance from start (nt)	30297	0.00329774212912646	22689	0.00248319637028027	20844	0.00273212440367492	73830	0.0028447099318676	24610	0.00283768763436055	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	85	Distance from start (nt)	7761	0.000844762737701769	5084	0.000556418103332226	3753	0.000491923953511417	16598	0.000639529939714728	5532.66666666667	0.000631034931515137	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	86	Distance from start (nt)	1801	0.000196033718670389	1146	0.00012542390763547	831	0.000108923209530506	3778	0.000145568388495135	1259.33333333333	0.000143460278612122	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	87	Distance from start (nt)	26195	0.00285125111636359	23499	0.00257184677620063	21725	0.0028476013562578	71419	0.00275181279458285	23806.3333333333	0.00275689974960734	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	88	Distance from start (nt)	7717	0.000839973463064624	5854	0.000640690711429358	4546	0.000595866318322116	18117	0.000698057833342073	6039	0.000692176830938699	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	89	Distance from start (nt)	2608	0.000283873369401651	1788	0.000195687562698273	1275	0.000167120447835613	5671	0.000218506704911569	1890.33333333333	0.000215560459978512	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	90	Distance from start (nt)	31645	0.00344446808846443	25880	0.00283243519162825	24345	0.00319101749220236	81870	0.00315449549129081	27290	0.00315597359076501	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	91	Distance from start (nt)	10123	0.00110185970799575	5807	0.000635546798987065	5262	0.000689715918832154	21192	0.000816539250658786	7064	0.000809040808604989	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	92	Distance from start (nt)	1954	0.00021268733274955	1310	0.000143372878710704	968	0.000126880465494019	4232	0.000163061254661569	1410.66666666667	0.000160980225651424	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	93	Distance from start (nt)	27396	0.00298197654452746	22776	0.00249271808054579	21565	0.0028266293784902	71737	0.0027640655070078	23912.3333333333	0.00276710800118782	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	94	Distance from start (nt)	6721	0.00073156170082381	5383	0.000589142142060853	4446	0.000582758832217362	16550	0.000637680473688321	5516.66666666667	0.000634487558367341	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	95	Distance from start (nt)	2075	0.000225857838001697	1356	0.000148407346207415	849	0.000111282557029361	4280	0.000164910720687977	1426.66666666667	0.000161849247079491	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	96	Distance from start (nt)	24730	0.00269179004037685	22338	0.00244478119438145	20112	0.00263617760538812	67180	0.00258848182612577	22393.3333333333	0.00259091628004881	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	97	Distance from start (nt)	6617	0.000720241597136014	5367	0.000587391022931562	4641	0.000608318430121632	16625	0.000640570264354582	5541.66666666667	0.000638650350063069	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	98	Distance from start (nt)	1625	0.000176876620121811	1116	0.00012214055926805	651	8.53297345419484e-05	3392	0.000130695599199443	1130.66666666667	0.00012811563797727	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	99	Distance from start (nt)	20415	0.00222211458448417	19966	0.00218517778346405	17797	0.00233273930206307	58178	0.00224162988508998	19392.6666666667	0.00224667722333709	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	100	Distance from start (nt)	5863	0.000638170845399494	5195	0.000568566492291683	4029	0.000528100615160538	15087	0.000581310290425118	5029	0.000578279317617238	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-100	Distance from stop (nt)	4738	0.000515717800699778	4712	0.00051570458357621	3314	0.000434382089511547	12764	0.000491803840855452	4254.66666666667	0.000488601491262512	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-99	Distance from stop (nt)	2046	0.000222701270627215	1712	0.000187369746834141	1081	0.000141691924792391	4839	0.000186449293787177	1613	0.000183920980751249	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-98	Distance from stop (nt)	31782	0.00345938014813009	36765	0.00402374342427406	30587	0.0040091867748611	99134	0.00381968677212194	33044.6666666667	0.00383077011575508	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-97	Distance from stop (nt)	10037	0.00109249885302315	9345	0.00102276301645155	7430	0.000973886217583221	26812	0.0010330808979173	8937.33333333333	0.0010297160290193	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-96	Distance from stop (nt)	2445	0.000266131283814048	2860	0.000313012544360773	1696	0.000222302964336628	7001	0.000269752326059936	2333.66666666667	0.000267148930837149	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-95	Distance from stop (nt)	20981	0.00228372207186198	26886	0.00294253680688242	22704	0.00297592364522334	70571	0.00271913889478299	23523.6666666667	0.00273406084132258	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-94	Distance from stop (nt)	7248	0.000788924149318698	8570	0.000937943183626511	6904	0.000904940840672215	22722	0.000875490980250516	7574	0.000877269391205808	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-93	Distance from stop (nt)	1506	0.000163923809171352	1024	0.000112071624274626	782	0.000102500541339176	3312	0.000127613155822098	1104	0.000126165324928385	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-92	Distance from stop (nt)	18581	0.00202248890983592	20477	0.00224110415065578	17651	0.00231360237235013	56709	0.00218502851857347	18903	0.00219239847761394	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-91	Distance from stop (nt)	4394	0.000478274380809377	4149	0.000454087079214282	3149	0.000412754737438703	11692	0.000450499099599024	3897.33333333333	0.000448372065820787	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	-90	Distance from stop (nt)	1332	0.000144984404924463	1201	0.000131443379642408	717	9.3980675371086e-05	3250	0.000125224262204655	1083.33333333333	0.000123469486645986	UPF1-FLAG	Total	+CHX
