Sample	bin	fraction_ave	size	strain	Ribosomes
Total_WT_CHX-	34	0.0102984908133632	M	WT + EV	Total
Total_WT_CHX-	35	0.0096966056686241	M	WT + EV	Total
Total_WT_CHX-	36	0.0104281390653539	M	WT + EV	Total
Total_WT_CHX-	37	0.010687154893255	M	WT + EV	Total
Total_WT_CHX-	38	0.00841396674969825	M	WT + EV	Total
Total_WT_CHX-	39	0.0116874090802214	M	WT + EV	Total
Total_WT_CHX-	41	0.0105192913361941	M	WT + EV	Total
Total_WT_CHX-	43	0.00861807278463836	M	WT + EV	Total
Total_WT_CHX-	44	0.00918838812811946	M	WT + EV	Total
Total_WT_CHX-	45	0.00965646593809461	M	WT + EV	Total
Total_WT_CHX-	46	0.010094500427844	M	WT + EV	Total
Total_WT_CHX-	47	0.0113987683414048	M	WT + EV	Total
Total_WT_CHX-	49	0.00995888886248739	M	WT + EV	Total
Total_WT_CHX-	51	0.00983066931255871	M	WT + EV	Total
Total_WT_CHX-	52	0.0111849703370468	M	WT + EV	Total
Total_WT_CHX-	53	0.0104519114347914	M	WT + EV	Total
Total_WT_CHX-	54	0.0111580293561239	M	WT + EV	Total
Total_WT_CHX-	55	0.0104874726977309	M	WT + EV	Total
Total_WT_CHX-	58	0.0110586612441531	M	WT + EV	Total
Total_WT_CHX-	59	0.0124592956358718	M	WT + EV	Total
Total_WT_CHX-	60	0.0115472525050757	M	WT + EV	Total
Total_WT_CHX-	61	0.0131233529711546	M	WT + EV	Total
Total_WT_CHX-	62	0.0104238922700083	M	WT + EV	Total
Total_WT_CHX-	63	0.0116803441915924	M	WT + EV	Total
Total_WT_CHX-	65	0.0129105438191587	M	WT + EV	Total
Total_WT_CHX-	69	0.0105100028321555	M	WT + EV	Total
Total_WT_CHX-	70	0.0109360379265317	M	WT + EV	Total
Total_WT_CHX-	71	0.0125359127130614	M	WT + EV	Total
Total_WT_CHX-	72	0.0103603686914897	M	WT + EV	Total
Total_WT_CHX-	73	0.00930200069126274	M	WT + EV	Total
Total_WT_CHX-	74	0.010643463550744	M	WT + EV	Total
Total_WT_CHX-	75	0.0101917950071338	M	WT + EV	Total
Total_WT_CHX-	76	0.0117908524644196	M	WT + EV	Total
Total_WT_CHX-	77	0.0113532168946039	M	WT + EV	Total
Total_WT_CHX-	80	0.0120424204031956	M	WT + EV	Total
Total_WT_CHX-	81	0.0149213470878555	M	WT + EV	Total
Total_WT_CHX-	84	0.0106026257103307	M	WT + EV	Total
Total_WT_CHX-	85	0.0125557654139523	M	WT + EV	Total
Total_WT_CHX-	89	0.010875907429794	M	WT + EV	Total
Total_WT_CHX-	90	0.00993839587642311	M	WT + EV	Total
Total_WT_CHX-	91	0.0146739496058447	M	WT + EV	Total
Total_WT_CHX-	93	0.0100751499468092	M	WT + EV	Total
Total_WT_CHX-	94	0.0104105993113706	M	WT + EV	Total
Total_WT_CHX-	95	0.00980234446136653	M	WT + EV	Total
Total_WT_CHX-	30	0.0100858297930825	M	WT + EV	Total
Total_WT_CHX-	29	0.00938300619905421	M	WT + EV	Total
Total_WT_CHX-	20	0.00977619189733221	M	WT + EV	Total
Total_WT_CHX-	87	0.0108527025768885	M	WT + EV	Total
Total_WT_CHX-	56	0.0161187980248137	M	WT + EV	Total
Total_WT_CHX-	7	0.00624508415137627	M	WT + EV	Total
Total_WT_CHX-	83	0.0133205656405838	M	WT + EV	Total
Total_WT_CHX-	3	0.00543680048967263	M	WT + EV	Total
Total_WT_CHX-	18	0.0078549565937329	M	WT + EV	Total
Total_WT_CHX-	88	0.0116685338577007	M	WT + EV	Total
Total_WT_CHX-	31	0.00914664914791638	M	WT + EV	Total
Total_WT_CHX-	92	0.0114195091891677	M	WT + EV	Total
Total_WT_CHX-	67	0.0100931789277309	M	WT + EV	Total
Total_WT_CHX-	98	0.00990909711679981	M	WT + EV	Total
Total_WT_CHX-	66	0.0116906969110668	M	WT + EV	Total
Total_WT_CHX-	1	0.00259035124251922	M	WT + EV	Total
Total_WT_CHX-	100	5.82265361615903e-05	M	WT + EV	Total
IP_FLAG-Upf1_CHX-	34	0.00765063355740882	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	35	0.00843001944928956	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	43	0.00884089853875175	M	FLAG-UPF1	IP
IP_FLAG-Upf1_CHX-	80	0.0147778902169236	M	FLAG-UPF1	IP
