,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YLR148W_mRNA,128,166,145,58,82,78,5,26,30,100,141,124,2,0,10,10,0,19,3,15,15,0,15,0,0,0,30,7,7,0,1,0,11,0
YPL154C_mRNA,1303,1164,1114,509,686,722,43,234,172,788,1157,1062,52,3,135,158,23,145,6,40,56,16,87,29,57,28,259,84,135,51,75,0,30,1
YMR231W_mRNA,152,159,100,62,82,64,10.35,33,26,97,144,113,17,0,40,42,2,6,0,3,5,2,0,13,13,0,27,10,20,10,6,0,4,0
YDR323C_mRNA,29,50,46,22,30,24,3,12,6,37,52,41,0,0,2,2,0,9,0,1,1,0,0,0,0,0,2,0,1,1,7,0,0,0
YJL053W_mRNA,92,81,71,47,49,46,3,16,10,57,81,51,9,0,8,9,1,11,0,9,9,0,7,0,0,0,14,18,22,4,4,0,6,0
YCR044C_mRNA,209,198,135,84,95,114,21,40,33,135,134,156,0,4,4,5,1,3,0,7,7,0,4,0,0,0,16,16,23,7,0,0,1,0
YLR064W_mRNA,201,201,159,72,109,101,5,51,24,97,184,158,0,0,22.57,26.66,4,10,0,0,2,2,20,0,23,23,22,10,12,2,0,0,1,0
YFR023W_mRNA,3,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR046C_mRNA,556,500,412,342,343,356,27,70,71,356,440,411,60,3,125,144,19,88,4,48,55,7,60,33.92,42.98,9,186,55,86,31,131,0,64,2
YDR079W_mRNA,21,18,12,7,7,6,1,9,1,9,10,13,0,0,7,7,0,6,0,2,2,0,0,0,2,2,3,8,8,0,0,0,0,0
YMR257C_mRNA,16,13,4,7,7,10,0,7,6,8,14,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YBL080C_mRNA,44,31,36,23,22,20,0,9,5,25,25,34,2,0,0,2,2,10,0,1,9,8,0,10,10,0,19,3.13,11.51,8,3,0,0,0
YER058W_mRNA,6,3,8,6,5,1,1,3,1,10,3,7,0,0,1,3,2,0,0,0,0,0,0,0,0,0,4,1,1,0,8,0,0,0
YER153C_mRNA,41.16,43.95,30.71,19,30.92,20,2,5,6,41,68.61,45.71,0,0,0,2.27,2,0,0,3,7.21,4.23,0,0,0,0,2.29,1.15,1.09,0,0,0,12,0
YOR158W_mRNA,103,110,104,61,51,65,7,28,23,75,83,72,2,3,2,4,2,4,3,1,1,0,9,0,0,0,15,8,12,4,31,0,8,0
YOR017W_mRNA,102,97,75,43,50,20,5,15,28,40,67,86,0,0,11,11.95,1,11,0,2,2,0,15,0,1,1,19,20,24,4,0,0,0,0
YJL023C_mRNA,37,28,25,16,16,20,1,17,2,13,28,20,0,0,5,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,10,0
YCR020C_mRNA,0,0,4,4,0,3,0,0,0,0,1,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YJR034W_mRNA,59,106,60,35,60,52,15,25,15,60,86,79,10,0,4,6,2,8,0,0,0,0,5,0,0,0,17,1,1,0,17,0,15,0
YPL159C_mRNA,60,64,62,33,45,51,4,12,5,43,39,53,4,0,17,17,0,3,2,4,4,0,1,0,10,10,25,5,5,0,6,0,1,0
YLR067C_mRNA,35,33,31,27,20,44,7,15,14,36,44,31,4,0,3,3,0,17,0,1,5,4,0,0,0,0,11,1,2,1,0,0,8,0
YNR045W_mRNA,36,30,30,14,24,13,0,5,7,23,26,27,0,0,3,5,2,0,0,4,4,0,20,0,0,0,13,9,12,3,7,0,1,0
YGR222W_mRNA,33,33,19,17,24,20,3,6,4,34,27,17,0,0,6,6,0,2,6,2,2,0,0,0,12,12,7,2,6,4,3,0,0,0
YNL003C_mRNA,70,61,54,36,35,33,8,8,14,48,52,54,2,0,5,8,3,11,0,0,1,1,1,8,8,0,10,3,8,5,0,0,14,0
YBL030C_mRNA,2544,2680,2120,1077,1556,1525.76,185,496,384,1786,2408,2167,137,6,306.98,376,69,314,19,201.58,234.29,33,162,108,181,73,539,254.86,440.76,186,114,0,112,14
YKL197C_mRNA,68,67,62,37,38,22,0,9,11,47,58,45,1,0,17,17,0,3,0,15,15,0,2,0,2,2,12,10,13,3,9,0,1,1
YDR265W_mRNA,26,36,25,24,12,16,2,2,3,20,26,20,2,0,11,11,0,6,0,12,12,0,1,0,5,5,4,2.99,3,0,0,0,0,0
YOL147C_mRNA,115,139,112,70,58,75,12,44,18,99,145,106,1,0,13,15,2,15,5,6,6,0,9,0,2,2,13,4,7,3,23,0,0,0
YMR026C_mRNA,26,32,37,12,19,15,2,8,4,28,26,27,0,0,1,2,1,1,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0
