,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YHL032C_mRNA,3492.95,9070.19,7543.01,7564.05,8521.07,6574.95,3389.02,2293,8726.37,9601,12739.98,10766,7926,8376,12710.02,13083,9579.99,8612.25,10235.03,12158,12584,14093
YIL155C_mRNA,1818.06,4457,3816.99,3565.41,5520,3251,1695.06,861,5269.03,5909.32,7488.19,6523,4642.99,3594,6779,7278.15,5846.09,5490,6056.59,5964,5476.11,6905
YIL041W_mRNA,10119.84,31675.11,20198.01,25559.68,29035.18,29924.86,12800,10716.82,26695.76,27714.09,22416.06,21022.03,15857.71,14299.01,15184.03,19136.85,28065.16,23362.87,27303.33,16094,19719.22,19544.21
YJL091C_mRNA,3211.13,7915.49,6272.53,6554,10094.56,7264.92,4776.06,2394,11737.05,10500.86,9832,6864.02,6151,7550.75,8031.03,8959,11078.52,8787.34,10513.03,9036.4,9191,10589.49
YMR192W_mRNA,4018,7327.04,6753.43,6340.01,11324.84,6555.26,4993.71,2535.03,11921.17,10845.5,12042.47,10273.98,7137,7777,8607,9904.65,13951.59,11256.12,12900.59,9765,9924,10274
YOR070C_mRNA,3585,5554,6158.33,4680.02,10297.86,4668.01,4617.07,1775,9698.66,9262.87,15933.36,12696.86,8900.88,9629.01,11953,13399.54,19187.39,15066.99,17892.6,13333,13468,13112.34
YPL249C_mRNA,4894.81,11464.41,8579.46,9881.88,12081.46,8654.82,5370.96,3130.47,12529.55,12393.84,9195,8625,5942.02,6430,6246.92,8006,10738.27,8581.96,10108.67,8073.03,8258.21,8417.79
YJL044C_mRNA,5578.13,15278.83,10186.34,12692.41,14298.28,10611.45,6683.03,3994.72,19653.43,17535.37,14741.72,14061.85,8891.24,12874.41,13137.8,16965.74,13410.76,10434.48,11859.14,13483.8,15749.38,17280.91
YDL234C_mRNA,3752.04,7588.01,7047,6372,9836.77,5023,4779.02,1996,12343.83,11362.7,11522,9942.42,6462,11037,9703.69,12907.84,11956.09,9249.02,10565,10603,12537,12942.24
YFL027C_mRNA,3683,5805.9,5242.01,5146,9345.32,4476.67,4489.45,1895,12946.97,11001,7275.14,6060,4162,7167,8008,10607.73,7122.56,5864,6809.01,3606,3687.99,4671
YJL110C_mRNA,10038.76,12157,13437,11341.99,21968.01,6345,9195.09,2325,32785.96,28465.06,31975.13,28882.86,19665.78,36759,42345.16,50811.48,25847.94,20169.88,24104.93,44836.68,51198.64,52851.36
