,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YFR023W_mRNA,1.86,1.45,1.41,1.45,1.02,0.48,1.21,0.45,2.83,2.22,1.55,1.37,1.09,2.94,1.91,1.75,0.81,0.91,0.92,2.06,2.99,4.78
YKR046C_mRNA,202.55,179.28,216.29,176.52,159.35,118.87,159.85,131.21,196.77,211.91,231.17,223.81,197.64,226.9,249.37,248.25,171.77,175.36,180.18,223.19,228.37,185.84
YDR079W_mRNA,40.92,32.6,40.25,33.89,40.69,32.64,40.39,35.8,50.15,41.26,31.28,25.37,23.71,30.14,28.01,26.16,38.52,34.86,33.55,24.08,27.81,23.35
YMR257C_mRNA,26.51,16.43,25.11,16.63,25.81,14.89,26.45,15.38,33.46,28.27,25.55,24.99,17.9,31.73,23.35,32.67,24.88,22.93,23.58,24.12,22.27,25.54
YBL080C_mRNA,20.22,14.07,21.09,13.28,19.43,10.94,21.81,11.35,20.7,19.92,22.59,16.78,17.55,19.38,20.14,20.45,20.27,19.15,19.08,19.69,17.32,20.47
YER058W_mRNA,80.98,59.87,69.42,58.83,57.58,44.67,61,53.85,62.5,62.61,25.6,18.2,18.65,19.68,21.3,16.61,21.05,20.98,19,18.89,16.16,21.44
YER153C_mRNA,13.14,10.01,9.51,8.87,11.83,7.33,8.02,5.12,10.22,13.57,30.01,10.06,26.6,6.15,33.01,11.45,5.21,8.4,9.86,32.79,26.02,15.29
YOR158W_mRNA,71.41,66.64,70.69,67.46,72.96,68.27,75.06,69.89,92.86,78.71,60.02,53.97,45.43,78.66,49.69,68.15,70.51,64.56,62,52.25,50.14,50.75
YOR017W_mRNA,39.03,28.44,38.83,28.11,42.08,30.9,45.34,31.15,46.15,40.86,51.53,44.36,39.51,48.22,43.74,48.18,55.88,50.26,50.49,41.73,42.98,40.39
YJL023C_mRNA,28.03,18.29,22.48,19.23,21.05,11.39,22.16,11.97,39.84,32.09,22.31,23.94,19.37,39.15,37.32,41.99,15.9,14.73,13.91,31.39,35.35,37.02
YCR020C_mRNA,31.38,24.04,29.44,24.1,18.61,10.61,20.81,10.36,54.08,41.03,39.39,36.71,38,102.72,73.19,86.61,15.03,14.43,13.93,87.23,83.41,85.85
YJR034W_mRNA,60.85,54.59,66.44,55.85,55.93,49.55,54.2,56.34,59.24,60.47,30.8,23.44,28.92,31.56,35.15,32.6,26.37,28.15,26.56,27.14,25.14,30.71
YPL159C_mRNA,55.02,29.15,42.76,30.01,52.44,24.11,47.97,26.08,58.15,51.93,61.98,57.07,47.81,63.7,49.86,56.9,67.24,63.78,60.77,59.76,48.94,48.06
YLR067C_mRNA,23.89,17.63,21.5,17.37,23.84,17.72,26.74,21.06,28.92,24.22,25.63,22.37,19.32,27.33,23.41,26.98,28.57,25.47,27.37,24.1,22.1,23.61
YNR045W_mRNA,24.3,12.77,22.28,13.26,23.02,11.43,21.83,11.12,23.98,23.82,33.2,34.76,26.31,33.51,33.28,34.28,32.89,33.23,32.06,31.15,28.22,29.52
YGR222W_mRNA,43.9,30.13,34.61,30.17,40,27.34,40.49,28.98,55.46,44.27,39.08,42.69,31.2,58.62,48.35,52.73,36.83,32.65,32.29,47.56,42.9,43.89
YNL003C_mRNA,49.85,40.21,52.96,39.18,41.41,28.36,44.74,31.06,62.41,54.41,60.44,50.89,57.17,77.7,72.27,71.2,45.62,44.34,42.5,62.91,66.55,71.33
YBL030C_mRNA,389.04,396.86,418.38,400.9,328.68,357.47,342.19,325.19,369.98,365.23,401.56,391.48,397.16,476.29,440.53,443.35,352.92,343.63,336.19,387.44,354.46,396.07
YKL197C_mRNA,27.88,22.4,28.93,21.48,28.79,19.46,30.55,22.74,33.45,30.18,34.28,30.34,29.5,46.47,39.95,43.32,27.78,27.71,26.92,39.34,37.82,41.48
YDR265W_mRNA,45.91,25.47,37.86,25.24,32.74,14.65,33.08,14.82,57.53,49.64,41.78,38.11,37.77,82.09,67.81,75.76,28.72,27.55,26.12,65.39,64.65,73.52
YOL147C_mRNA,31.39,37.99,36.61,36.02,41.34,37.91,38.59,33.5,44.37,45.84,42.53,33.94,39.12,45.19,41.6,44.71,47.77,46.92,48.44,42.11,44.7,42.48
YMR026C_mRNA,37.75,32.24,34.06,31.49,30.41,25.94,33.68,28.52,40.37,36.7,35.67,35.59,35.23,52.94,38.59,47.71,30.03,30.2,28.17,40.79,40.94,45.34
YLR191W_mRNA,40.95,25.92,38.2,24.91,39.25,23.06,42.11,24,42.54,37.08,31.36,30.14,28.58,31,31.28,31.32,33.75,32.76,31.85,30.19,27.68,29.38
YGL153W_mRNA,32.76,22.3,27.4,22.73,29.88,23.5,34.3,25.73,32.08,29.74,30.44,30.26,28.87,26.89,28.9,29.29,32.3,32.13,27.18,27.93,26.46,24.6
YOL044W_mRNA,19.16,11.66,16.99,11.57,19.59,10.67,21.88,12.86,22.74,18.56,13.88,13.83,12.41,18.26,15.31,14.07,18.92,17.36,18.08,15.25,15.93,15.44
YNL214W_mRNA,25.42,17.87,25.48,17.31,26.42,15.01,26.61,16.34,31.15,25.68,28.36,34.47,26.21,36.7,31.35,32,30.73,27.77,28.57,25.14,27.69,31.2
YHR160C_mRNA,0.93,0.51,1.27,0.41,0.74,0.29,0.83,0.35,1.01,1.04,1.08,0.81,0.19,2.23,0.76,0.34,0.18,0.33,0.21,1.03,0.6,0.58
YDL065C_mRNA,67.85,46.12,54.24,48.84,66.85,47.01,58.5,47.24,77.23,69.71,51.63,42.03,46.37,56.36,48.33,50.83,53.24,52.01,49.31,46.51,47.76,46.48
YJL210W_mRNA,44.56,43.94,49.82,42.73,37.26,30.24,36.11,29.7,42.65,41.89,48.19,51.51,45.43,48.01,59.59,50.43,32.78,34.17,34.54,44.82,52.67,46.57
YGR239C_mRNA,27.85,22.69,23.41,21.96,22.96,17.08,22.21,18.13,35.81,32.9,31.54,23.53,24.56,35.92,37.71,38.29,27.97,28.55,27.97,35.88,31.42,36.01
YAL055W_mRNA,25.94,15.12,19.79,16.35,19.61,12.94,20.32,14.11,21.46,21.5,23.48,20.72,19.62,22,25.87,26.46,18.15,18.55,19.94,20.11,18.93,24.25
YPL112C_mRNA,58.8,47.53,51.94,46.96,62.06,50.19,60.57,50.31,65.94,59.57,45.23,39.56,38.68,52.97,47,48.68,57.41,56.78,56.2,47.85,45.96,50.26
YOR193W_mRNA,24.11,13.33,20.97,13.25,25.7,12.83,24.51,14.08,31.51,26.75,16.83,16.64,12.83,24.08,17.58,17.38,16.54,14.99,15.53,18.81,17.86,19.24
YHR150W_mRNA,22.53,15.09,22.25,15.05,19.03,9.72,22.16,11.75,31.02,26.58,27.68,23.77,21.61,43.5,38.17,40.42,16.26,17.05,15.08,40.51,43.53,41.03
YDR479C_mRNA,35.85,20.48,33.89,21.01,28.65,13.45,32.91,14.1,35.17,33.38,27.66,25.97,24.85,38.51,31.31,35.01,23.66,24.49,22.28,34.84,29.57,32.71
YDR329C_mRNA,48.2,36.16,44.04,37.15,45.21,33.51,45.84,34.87,47.32,46.31,53.85,56.97,48.27,57.98,49.25,55.91,58.9,59.27,61.15,51.14,50.93,51.84
