,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YMR124W_mRNA,3.25,65.49,6.04,81.75,9.86,46.57,10.99,9.61,12.62,5.37,78.45,5.93,65.45,8.43,65.59,11.84,55.25,0,0,0,17.5,81.29,0,0,0,0,100.74,42.35,83.22
YIL005W_mRNA,29.78,16.35,56.44,22.17,70.97,33.29,57.54,48.31,63.05,53.04,47.98,61.02,33.36,50.18,34.39,98.82,74.91,83.41,127.01,268.77,71.3,47,24.68,19.53,0,18.76,0,63.38,141.79
YHR123W_mRNA,126.85,27.16,145.05,92.06,161.64,36.87,189.65,130.46,133.84,158.77,45.55,176.41,75.21,151.28,76.16,173.31,23.01,113.61,132.6,194.77,210.9,15.62,163.2,236.66,504.35,15.54,0,13.12,0
YHR123W_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,0,0,0,0,0,0,0,0,0,0,0,0
YMR049C_mRNA,62.36,74.86,70.55,113.35,80.53,127.03,71.15,75.87,76.83,76.69,96.25,58.94,87.29,58.84,86.59,94.08,130.35,93.3,102.19,130.8,86.31,91.83,52.78,41.76,0,77.34,0,21.77,89.89
YHR032W_mRNA,160.81,48.32,150.17,74.25,151.47,75.43,167.18,155.85,162.69,184.93,105.34,213.59,98.59,186.12,67.75,146.48,64.94,117.07,129.33,168.66,123.32,59.27,38.85,30.74,0,421.03,0,65.5,0
YDR414C_mRNA,30.03,28.95,44.69,16.35,31.31,9.82,24.37,31.52,29.17,23.68,20.23,21.54,16.88,30.11,35.51,27.36,8.84,58.24,44.79,0,17.98,5.55,28.97,22.92,0,16.55,0,0,0
YBL040C_mRNA,239.37,77.36,352.85,52.45,254.61,87.51,269.75,284.25,212.38,353.54,43.25,374.49,105.23,276.06,72.31,139.3,43.32,292.37,285.46,262.53,238.79,128.5,25.54,20.2,0,29.32,0,420.94,0
YBL040C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLR246W_mRNA,7.56,0,2.81,0,8.6,9.89,5.11,7.93,11.96,5.68,4.07,5.91,4.25,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR175C_mRNA,429,450.99,371.21,457.97,355.29,322,319.29,412.27,432.51,409.47,504.22,371.29,515.6,403.36,463.97,371.36,339.93,341.79,338.16,324.35,273.16,368.2,411.32,381.18,261.3,67.08,336.37,634.51,765.83
YPL028W_mRNA,594.4,402.67,992.48,740.53,857.71,871.74,863.26,719.14,766.07,844.09,508.41,832.25,457.36,758.02,413.69,840.01,634.09,365.62,406.64,540.49,737.41,1037.87,263.5,219.43,51.56,1111.93,473.47,979.33,537.25
