,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YGR238C_mRNA,8.79,2.9,4.14,8.53,1.88,11.22,2.75,5.36,6.17,3.64,8.9,7.55,12.77,4.75,5.76,3.4,10.04,13.39,10.34,0,10.09,8.81,0,0,0,0,171.3,0,0
YPL263C_mRNA,41.32,30.54,43.22,54.56,40.76,29.55,37.08,43.3,29.1,36.36,42.95,56.28,37.83,44.49,43.01,31.31,90.31,50.85,51.33,53.17,30.33,69.64,101.48,101.51,101.59,67.97,84.59,29.18,51.55
YPL145C_mRNA,191.95,276.64,194.57,302.71,212.52,249.33,185.98,231.02,196.72,200.85,314.22,194.89,237.43,245.31,283.12,268.43,232.42,279.18,246.07,134.55,288.78,160.82,153.81,150.21,135.3,57.94,105.19,391.71,120.9
YGL203C_mRNA,40.83,3.63,72.52,19.82,71,28.07,54.57,46.33,53.5,54.56,12.98,51.91,25.96,55.62,19.23,75.08,32.44,42.75,50.22,75.79,52.23,16.54,60.27,48.24,0,12.92,120.55,77.63,0
YNL238W_mRNA,35.15,34.31,32.8,36.72,44.45,36.23,26.26,41.98,34.34,32.48,36.7,43.33,25.76,37.66,16.54,53.65,26.1,40.02,51.9,92.42,63.56,16.6,0,0,0,233.5,0,4.77,0
YIL125W_mRNA,101.66,135.05,134.58,144.61,104.86,123.29,123.95,121.37,132.06,126.35,126.43,118.42,119.25,120.53,163.82,112.62,123.52,128.3,139.46,177.75,153.33,110.41,208.68,190.92,118.86,254.48,235.3,148.26,55.07
YDR148C_mRNA,65.17,169.5,45.58,251.38,39.57,233.9,51.26,50.98,55.26,52.47,267.33,45.89,238.5,40.39,240.29,75.31,247.26,50.57,44.61,24.57,53.72,168.23,54.66,112.48,344.23,16.75,0,7.19,165.37
YJL094C_mRNA,19.02,20.48,20.32,15.99,16.11,11.33,19.43,19.69,17.57,23.5,10.48,17.78,14.5,19.76,17.45,12.58,10.13,16.52,16.23,15.3,27.63,24.47,0,27.37,136.42,5.22,0,0,0
YHR102W_mRNA,27.13,26.46,16.22,19.21,12.08,10.86,23.69,15.39,20.78,13.89,24.61,21.95,18.54,18.23,22.32,16,19.44,13.6,13.36,12.59,16.75,14.63,47.45,38.21,0,8.58,0,40.52,0
YDR122W_mRNA,14.05,30.09,19.16,55.46,24,40.31,22.52,25.52,22.89,20.34,48.53,20.11,54.79,18.01,32.21,24.45,21.37,28.55,22.96,4.04,12.66,26.39,15.43,12.35,0,4.13,8.55,24.81,0
YLR096W_mRNA,21.68,4.54,11.84,33.42,16.57,33.7,14.02,13.96,15.93,14.83,38.34,13.82,42.52,16.75,25.59,8.89,34.74,33.86,31.55,23.77,9.04,31.08,15.14,12.12,0,0,0,0,0
YDL108W_mRNA,46.88,21.74,41.96,33.51,36.2,23.38,42.75,29.51,51.42,35.28,14.83,42.25,7.98,29.51,67.24,36.64,37.64,95.85,73.99,0,68.09,66.11,0,0,0,0,26.77,22.07,0
YDL108W_pre-mRNA,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR018C_mRNA,30.48,27.12,24.3,27.36,23.65,28,28.22,32.76,32.48,27.82,30.52,22.3,38.83,21.03,39.55,23.26,40.69,63.7,55.59,28.28,29.57,20.62,0,0,0,19.28,0,0,87.93
YOR233W_mRNA,20.6,19.02,21.35,25.31,20.52,26.58,27.43,22.12,28.15,29.42,38.91,30.26,27.92,20.75,25.21,23.54,16.46,8.13,13.81,33.14,9.45,26.5,21.17,16.98,0,45.18,0,4.85,0
YCR091W_mRNA,3.02,38.36,1.07,7.33,2.26,18,2.48,3.22,4.36,6.12,14.27,5.29,5.76,2.14,20.8,8.17,5.03,5.36,4.14,0,13.86,15.9,0,0,0,0,0,0,150.73
YBL063W_mRNA,3.05,2.34,6.7,13.77,9.48,9.06,5,5.91,7.33,2.06,7.18,9.15,12.89,9.59,10.86,3.66,2.7,0,3.71,16.33,4.66,5.34,23.49,22.15,15.6,0,0,0,0
YPL155C_mRNA,35.36,21.3,33.68,22.38,37.33,22.9,30.28,32.52,23.96,32.49,32.68,32.33,23.45,38.47,30.58,19.41,37.89,12.74,11.24,6.18,38.78,51.26,35.4,28.33,0,6.32,0,54.28,47.94
YGL216W_mRNA,21.54,31.07,19.03,39.18,19.11,12.03,14,21.16,17.49,16.76,49.26,16.86,56.45,27.97,28.83,30.36,23.31,14.36,13.56,10.83,16.98,30.7,15.51,12.41,0,0,0,4.75,0
YKL168C_mRNA,3.01,0,6.37,7.29,4.49,0,7.81,6.71,9.54,6.96,1.77,4.52,1.91,6.39,4.6,4.07,3,3.56,4.12,6.04,3.45,10.55,11.54,9.23,0,6.18,128.16,84.9,0
YDL049C_mRNA,0,8.04,2.45,3.38,0,10.38,0.95,4.03,3,3.01,4.11,1.74,4.43,0,5.33,3.13,0,0,0,0,0,12.23,0,0,0,0,0,0,0
YLL019C_mRNA,2.96,27.31,7.32,45.93,10.5,52.86,15.38,9.6,16.22,9.85,17.89,4.76,30.08,13.97,38.47,10.67,44.33,8.75,8.11,5.95,4.36,44.12,0,13.63,68.18,0,0,0,0
YHR186C_mRNA,28.81,8.51,30.11,21.46,20.43,24.15,26.07,33.26,28.79,28.87,20.02,31.45,29.98,30.35,23.69,25.32,25.04,19.43,21.24,26.74,23.72,16.82,8.52,20.46,68.11,0,0,0,0
